run_name,run_id,domain_name,finetune_strategy,pretrained_scheme,seed,task_type,run_state,accuracy,f1,precision,recall,auc,loss,convergence_epochs,training_time,total_parameters,trainable_parameters
Cora_NC_linear_probe_s3_84,w4xat5ij,Cora_NC,linear_probe,s3,84,node_classification,finished,0.409,0.4464616763121079,0.6022504724844903,0.48708260761752953,0.8316546138770693,1.6745388507843018,197,23.864261865615845,1691660,369415
CiteSeer_NC_linear_probe_s5_126,wkb8meh7,CiteSeer_NC,linear_probe,s5,126,node_classification,finished,0.42,0.3864174078573499,0.524828397587569,0.3768863731477947,0.7041638803891562,1.5543859004974363,158,24.856725215911865,2272523,950278
Cora_NC_linear_probe_s3_126,rgbpbje4,Cora_NC,linear_probe,s3,126,node_classification,finished,0.491,0.5162352261935748,0.6437135740426113,0.51422730034986,0.8424472315205913,1.4205825328826904,141,19.967867851257324,1691660,369415
CiteSeer_LP_full_finetune_b1_42,6fhtdkr2,CiteSeer_LP,full_finetune,b1,42,link_prediction,finished,0.5736263736263736,0.5195285987893168,0.5062496974391247,0.5446060981272249,0.08998878561517555,3.3333107078468407,36,190.921982049942,2468102,2468102
Cora_NC_linear_probe_s4_42,i8dvknd1,Cora_NC,linear_probe,s4,42,node_classification,finished,0.439,0.4672193622617416,0.633351601230993,0.4840305533645348,0.8154273604991449,1.6069685220718384,119,19.018408060073853,1691660,369415
Cora_NC_linear_probe_s4_84,1rzqvokd,Cora_NC,linear_probe,s4,84,node_classification,finished,0.473,0.4978196085680072,0.5725818057101044,0.5311781505811118,0.8319434289816083,1.5159412622451782,183,28.18916606903076,1691660,369415
Cora_NC_linear_probe_s4_126,xy4yhl1n,Cora_NC,linear_probe,s4,126,node_classification,finished,0.45,0.49433376991197125,0.626553689085738,0.477051595329732,0.8229858388143008,1.47422194480896,194,20.18177366256714,1691660,369415
CiteSeer_LP_full_finetune_b1_84,oirylqbx,CiteSeer_LP,full_finetune,b1,84,link_prediction,finished,0.5873626373626374,0.5211374846536362,0.5057620640229336,0.5488933601609658,0.0968227719895622,3.4056840215410507,61,208.3625843524933,2468102,2468102
Cora_NC_linear_probe_s5_42,w232hj8i,Cora_NC,linear_probe,s5,42,node_classification,finished,0.443,0.4644320470011008,0.6316764255832634,0.48345807599841784,0.8101135478164039,1.5819655656814575,117,18.231168031692505,1691660,369415
Cora_NC_linear_probe_s5_84,zdbvyj4v,Cora_NC,linear_probe,s5,84,node_classification,finished,0.431,0.4677433947703974,0.6180183461307369,0.5027178397596923,0.8154070688693699,1.6443393230438232,191,23.356701612472538,1691660,369415
Cora_NC_linear_probe_s5_126,ln3nrbzy,Cora_NC,linear_probe,s5,126,node_classification,finished,0.475,0.4900238151549633,0.6144773137573319,0.4707350129059547,0.8144657990505758,1.5142282247543335,107,22.75329613685608,1691660,369415
Cora_LP_full_finetune_b1_42,1bcywtaz,Cora_LP,full_finetune,b1,42,link_prediction,finished,0.5823863636363636,0.506102009341615,0.5026569007611661,0.5833333333333334,0.08405201569264069,7.168973379062884,257,335.73072624206543,1886982,1886982
