domain,strategy,scheme,task_count,task_type,tasks,baseline_performance,scheme_performance,improvement_pct,mean_std,mean_sem
CiteSeer_NC,linear_probe,s2,2,contrastive,"node_contrast, graph_contrast",0.417,0.3583333333333333,-14.06874500399681,0.0423359579238893,0.0244426767037581
CiteSeer_NC,linear_probe,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.417,0.3846666666666666,-7.7537969624300676,0.0109696551146028,0.0063333333333333
CiteSeer_NC,linear_probe,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.417,0.381,-8.63309352517985,0.0381968585095685,0.0220529665426974
CiteSeer_NC,linear_probe,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.417,0.3976666666666666,-4.636290967226228,0.04308518693627,0.0248752442757408
CiteSeer_NC,linear_probe,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.417,0.3879999999999999,-6.9544364508393475,0.0370270171631472,0.0213775583264319
CiteSeer_NC,full_finetune,b2,1,single,node_feat_mask,0.4533333333333333,0.4526666666666667,-0.1470588235293956,0.0159478316185409,0.0092074848779554
CiteSeer_NC,full_finetune,b3,1,single,node_contrast,0.4533333333333333,0.4096666666666667,-9.632352941176462,0.0159478316185408,0.0092074848779554
CiteSeer_NC,full_finetune,s1,2,generative,"node_feat_mask, link_pred",0.4533333333333333,0.3843333333333333,-15.22058823529412,0.0382143079661706,0.0220630409911638
CiteSeer_NC,full_finetune,s2,2,contrastive,"node_contrast, graph_contrast",0.4533333333333333,0.4046666666666667,-10.735294117647053,0.0238607068908976,0.0137759855465145
CiteSeer_NC,full_finetune,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.4533333333333333,0.423,-6.691176470588234,0.0285131548587665,0.0164620776331543
CiteSeer_NC,full_finetune,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.4533333333333333,0.3816666666666666,-15.808823529411775,0.0235867194271126,0.0136177988105436
CiteSeer_NC,full_finetune,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.4533333333333333,0.3993333333333333,-11.911764705882351,0.0396274315762873,0.0228789082878629
CiteSeer_NC,full_finetune,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.4533333333333333,0.4266666666666667,-5.88235294117646,0.0184481254693623,0.0106510302057803
Cora_LP,linear_probe,b2,1,single,node_feat_mask,0.0819466991341991,0.0854640151515151,4.292199752373075,0.001743716839803,0.0010067353868507
Cora_LP,linear_probe,b3,1,single,node_contrast,0.0819466991341991,0.0844832251082251,3.0953363598844867,0.0034238820646692,0.0019767792317102
Cora_LP,linear_probe,s1,2,generative,"node_feat_mask, link_pred",0.0819466991341991,0.0769469246031746,-6.101251891594408,0.0011346629584505,0.0006550979645009
Cora_LP,linear_probe,s2,2,contrastive,"node_contrast, graph_contrast",0.0819466991341991,0.0834911616161616,1.8847159169074479,0.0005979446156369,0.0003452234847984
Cora_LP,linear_probe,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.0819466991341991,0.0854386498917749,4.261246388774302,0.0042742030713428,0.0024677122938109
Cora_LP,linear_probe,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.0819466991341991,0.0809997294372294,-1.1555922410235242,0.0006764069264069,0.0003905237210427
Cora_LP,linear_probe,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.0819466991341991,0.0797568317099567,-2.6723070573668593,0.0013261554659154,0.0007656562152335
Cora_LP,linear_probe,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.0819466991341991,0.081253382034632,-0.8460586050350686,0.0020164096350297,0.0011641746455809
Cora_LP,full_finetune,b2,1,single,node_feat_mask,0.0872198547979797,0.0836828102453102,-4.055320386467126,0.0010706067321215,0.0006181150849866
Cora_LP,full_finetune,b3,1,single,node_contrast,0.0872198547979797,0.0843394886363636,-3.302420266907862,0.0040279503577452,0.0023255382233266
Cora_LP,full_finetune,s1,2,generative,"node_feat_mask, link_pred",0.0872198547979797,0.0769553796897546,-11.768507448217914,0.010751813146159,0.0062075622142114
Cora_LP,full_finetune,s2,2,contrastive,"node_contrast, graph_contrast",0.0872198547979797,0.0831416847041847,-4.675735935631775,0.0029052215564985,0.0016773304476999
Cora_LP,full_finetune,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.0872198547979797,0.0832318722943722,-4.572333344104426,0.0006468555685516,0.0003734622366301
Cora_LP,full_finetune,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.0872198547979797,0.0839082792207792,-3.7968139076484686,0.0045491823139827,0.0026264716335706
Cora_LP,full_finetune,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.0872198547979797,0.080241590007215,-8.000775519436363,0.0016457328843583,0.0009501643237985
Cora_LP,full_finetune,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.0872198547979797,0.0870676632395382,-0.17449187320250228,0.0020405039598846,0.0011780855105219
CiteSeer_LP,linear_probe,b2,1,single,node_feat_mask,0.09664464519913,0.1047284154771182,8.364426462875526,0.0151702673453755,0.0087585579355311
CiteSeer_LP,linear_probe,b3,1,single,node_contrast,0.09664464519913,0.1131220974067527,17.049524237656396,0.0047274124985853,0.0027293728786286
CiteSeer_LP,linear_probe,s1,2,generative,"node_feat_mask, link_pred",0.09664464519913,0.1064676860080863,10.16408181613845,0.0039979381127832,0.0023082106456188
CiteSeer_LP,linear_probe,s2,2,contrastive,"node_contrast, graph_contrast",0.09664464519913,0.1118752098737273,15.759346669663598,0.0057652343623688,0.0033285596110549
CiteSeer_LP,linear_probe,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.09664464519913,0.1029920413167262,6.567768037761214,0.0066927992371612,0.0038640894412071
CiteSeer_LP,linear_probe,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.09664464519913,0.0986402445260858,2.0648834944181274,0.0057281224026305,0.0033071330111098
CiteSeer_LP,linear_probe,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.09664464519913,0.0977582996856532,1.1523188731549232,0.00443088754911,0.0025581741192276
CiteSeer_LP,linear_probe,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.09664464519913,0.0941624556153837,-2.5683674233910434,0.0011579878282337,0.000668564584349
CiteSeer_LP,full_finetune,b2,1,single,node_feat_mask,0.0933109226660005,0.0941972120622973,0.9498238480281739,0.0039953153988541,0.0023066964210259
CiteSeer_LP,full_finetune,b3,1,single,node_contrast,0.0933109226660005,0.0904579976485091,-3.057439510809707,0.0052135774599988,0.0030100603499713
CiteSeer_LP,full_finetune,s1,2,generative,"node_feat_mask, link_pred",0.0933109226660005,0.0813532567424339,-12.814861949622088,0.0085946036606915,0.0049620967370783
CiteSeer_LP,full_finetune,s2,2,contrastive,"node_contrast, graph_contrast",0.0933109226660005,0.0955078197479976,2.3543836232985673,0.006709325533501,0.0038736309028476
CiteSeer_LP,full_finetune,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.0933109226660005,0.0894297860939817,-4.159359334502607,0.0037845454145803,0.0021850083138683
CiteSeer_LP,full_finetune,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.0933109226660005,0.0921740972148681,-1.2183198050688788,0.0011999471392484,0.0006927898038583
CiteSeer_LP,full_finetune,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.0933109226660005,0.0890054678045782,-4.614095261744812,0.0049611809767917,0.0028643391724491
CiteSeer_LP,full_finetune,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.0933109226660005,0.0917208152197032,-1.7040957273447712,0.0028032801341335,0.0016184745400559
